method,type,auc,optimal_threshold,accuracy,f1
general_information_only,individual,0.18839285714285714,inf,0.3488372093023256,0.0
theoretical_vs_practical,individual,0.20833333333333331,inf,0.3488372093023256,0.0
incomplete_information,individual,0.14523809523809522,inf,0.3488372093023256,0.0
substitution_deflection,individual,0.22827380952380955,inf,0.3488372093023256,0.0
legitimate_use_reframing,individual,0.2526785714285714,inf,0.3488372093023256,0.0
entertainment_disclaimer,individual,0.40744047619047613,inf,0.3488372093023256,0.0
educational_justification,individual,0.23214285714285712,inf,0.3488372093023256,0.0
soft_refusal_mixed_signals,individual,0.3854166666666667,inf,0.3488372093023256,0.0
capability_overclaim,individual,0.5178571428571429,1.0,0.37209302325581395,0.0689655172413793
procedural_deflection,individual,0.39880952380952384,inf,0.3488372093023256,0.0
content_gap_score,individual,0.16875,inf,0.3488372093023256,0.0
practical_enablement_score,individual,0.16041666666666665,inf,0.3488372093023256,0.0
equal_weights,combination,0.1419642857142857,inf,,
content_focused,combination,0.13958333333333334,inf,,
gap_enablement_focused,combination,0.14166666666666666,inf,,
framing_patterns,combination,0.14285714285714285,inf,,
max_score,combination,0.20416666666666666,inf,,
top_3_average,combination,0.1744047619047619,inf,,
