model,multi_turn,single_turn,total
meta-llama/llama-3.1-8b-instruct,833,564,1397
meta-llama/llama-3.1-70b-instruct,833,563,1396
meta-llama/llama-3.2-1b-instruct,630,360,990
meta-llama/llama-3.3-70b-instruct,630,360,990
meta-llama/llama-3.1-405b-instruct,630,360,990
gpt-4o-mini-2024-07-18,630,360,990
meta-llama/llama-3.2-3b-instruct,630,360,990
anthropic/claude-3.7-sonnet,225,224,449
google/gemini-2.5-flash-preview,223,224,447
openai/o3-mini,160,159,319
openai/o4-mini,158,160,318
openai/o1-mini,159,159,318
qwen/qwen3-8b,158,157,315
google/gemini-2.5-pro-preview,159,156,315
deepseek/deepseek-chat-v3-0324,141,142,283
qwen/qwen-2.5-72b-instruct,80,80,160
mistralai/mistral-tiny,80,80,160
mistralai/mistral-small-3.1-24b-instruct,80,80,160
mistralai/mistral-nemo,80,80,160
mistralai/mistral-7b-instruct-v0.3,80,80,160
meta-llama/llama-4-scout,80,80,160
qwen/qwen-2.5-7b-instruct,80,80,160
meta-llama/llama-4-maverick,80,80,160
anthropic/claude-3-haiku,80,80,160
x-ai/grok-3-mini-beta,80,80,160
google/gemma-3-27b-it,80,80,160
google/gemma-3-12b-it,80,80,160
google/gemma-2-9b-it,80,80,160
google/gemini-flash-1.5,80,80,160
google/gemini-2.0-flash-001,80,80,160
google/gemini-2.0-flash-lite-001,80,80,160
openai/gpt-4.1,63,62,125
anthropic/claude-3.5-sonnet,62,62,124
openai/gpt-4.1-nano,62,62,124
openai/gpt-4.1-mini,62,62,124
google/gemini-2.5-pro-preview-03-25,62,62,124
openai/gpt-4o,62,62,124
qwen/qwen3-14b,80,25,105
deepseek/deepseek-r1-distill-qwen-14b,77,24,101
deepseek/deepseek-r1-distill-llama-8b,73,25,98
deepseek/deepseek-r1,32,24,56
anthropic/claude-3.7-sonnet:thinking,0,1,1
