model,turn_type,total_experiments,successful_attacks,asr
llama-3.1-70b-instruct,single,563,267,47.42451154529307
llama-3.1-70b-instruct,multi,833,538,64.58583433373349
llama-3.2-1b-instruct,single,360,126,35.0
llama-3.2-1b-instruct,multi,630,349,55.3968253968254
gpt-4o-mini-2024-07-18,single,360,146,40.55555555555556
gpt-4o-mini-2024-07-18,multi,630,430,68.25396825396825
llama-3.1-8b-instruct,single,564,174,30.851063829787233
llama-3.1-8b-instruct,multi,833,491,58.9435774309724
llama-3.2-3b-instruct,single,360,155,43.05555555555556
llama-3.2-3b-instruct,multi,630,408,64.76190476190476
llama-3.3-70b-instruct,single,360,166,46.111111111111114
llama-3.3-70b-instruct,multi,630,393,62.38095238095238
llama-3.1-405b-instruct,single,360,173,48.05555555555556
llama-3.1-405b-instruct,multi,630,399,63.33333333333333
o4-mini,single,160,65,40.625
o4-mini,multi,158,103,65.18987341772153
gemini-2.5-pro-preview,single,156,70,44.871794871794876
gemini-2.5-pro-preview,multi,159,106,66.66666666666666
claude-3.7-sonnet,single,209,37,17.703349282296653
claude-3.7-sonnet,multi,209,48,22.966507177033492
gemini-2.5-flash-preview,single,209,80,38.27751196172249
gemini-2.5-flash-preview,multi,208,124,59.61538461538461
o1-mini,single,159,0,0.0
o1-mini,multi,159,0,0.0
qwen3-8b,single,157,65,41.40127388535032
qwen3-8b,multi,158,34,21.518987341772153
claude-3.5-sonnet,single,50,2,4.0
claude-3.5-sonnet,multi,50,2,4.0
gpt-4o,single,50,18,36.0
gpt-4o,multi,50,33,66.0
gemini-2.5-pro-preview-03-25,single,50,19,38.0
gemini-2.5-pro-preview-03-25,multi,50,32,64.0
gpt-4.1-nano,single,50,19,38.0
gpt-4.1-nano,multi,50,34,68.0
gpt-4.1,single,50,16,32.0
gpt-4.1,multi,50,31,62.0
gpt-4.1-mini,single,50,18,36.0
gpt-4.1-mini,multi,50,34,68.0
deepseek-chat-v3-0324,single,130,47,36.15384615384615
deepseek-chat-v3-0324,multi,129,69,53.48837209302325
gemini-2.0-flash-001,single,80,37,46.25
gemini-2.0-flash-001,multi,80,52,65.0
qwen-2.5-7b-instruct,single,80,39,48.75
qwen-2.5-7b-instruct,multi,80,60,75.0
gemma-3-12b-it,single,80,28,35.0
gemma-3-12b-it,multi,80,57,71.25
grok-3-mini-beta,single,80,31,38.75
grok-3-mini-beta,multi,80,51,63.74999999999999
qwen-2.5-72b-instruct,single,80,35,43.75
qwen-2.5-72b-instruct,multi,80,56,70.0
mistral-7b-instruct-v0.3,single,80,36,45.0
mistral-7b-instruct-v0.3,multi,80,52,65.0
claude-3-haiku,single,80,22,27.500000000000004
claude-3-haiku,multi,80,32,40.0
gemma-2-9b-it,single,80,21,26.25
gemma-2-9b-it,multi,80,39,48.75
mistral-nemo,single,80,50,62.5
mistral-nemo,multi,80,64,80.0
llama-4-scout,single,80,38,47.5
llama-4-scout,multi,80,52,65.0
mistral-small-3.1-24b-instruct,single,80,40,50.0
mistral-small-3.1-24b-instruct,multi,80,63,78.75
gemini-2.0-flash-lite-001,single,80,34,42.5
gemini-2.0-flash-lite-001,multi,80,53,66.25
gemma-3-27b-it,single,80,35,43.75
gemma-3-27b-it,multi,80,52,65.0
llama-4-maverick,single,80,33,41.25
llama-4-maverick,multi,80,43,53.75
gemini-flash-1.5,single,80,28,35.0
gemini-flash-1.5,multi,80,41,51.24999999999999
mistral-tiny,single,80,34,42.5
mistral-tiny,multi,80,53,66.25
