threshold,accuracy,precision,recall,specificity,tp,tn,fp,fn,f1
0.0,0.3466666666666667,0.3466666666666667,1.0,0.0,78,0,147,0,0.5148514851485149
0.5,0.4088888888888889,0.3696682464454976,1.0,0.09523809523809523,78,14,133,0,0.5397923875432525
1.0,0.4088888888888889,0.3696682464454976,1.0,0.09523809523809523,78,14,133,0,0.5397923875432525
1.5,0.4711111111111111,0.39593908629441626,1.0,0.19047619047619047,78,28,119,0,0.5672727272727273
2.0,0.4711111111111111,0.39593908629441626,1.0,0.19047619047619047,78,28,119,0,0.5672727272727273
2.5,0.5244444444444445,0.4198895027624309,0.9743589743589743,0.2857142857142857,76,42,105,2,0.5868725868725868
3.0,0.5244444444444445,0.4198895027624309,0.9743589743589743,0.2857142857142857,76,42,105,2,0.5868725868725868
3.5,0.5688888888888889,0.44025157232704404,0.8974358974358975,0.3945578231292517,70,58,89,8,0.5907172995780591
4.0,0.5688888888888889,0.44025157232704404,0.8974358974358975,0.3945578231292517,70,58,89,8,0.5907172995780591
4.5,0.6177777777777778,0.47101449275362317,0.8333333333333334,0.5034013605442177,65,74,73,13,0.6018518518518519
5.0,0.6177777777777778,0.47101449275362317,0.8333333333333334,0.5034013605442177,65,74,73,13,0.6018518518518519
5.5,0.6222222222222222,0.47107438016528924,0.7307692307692307,0.564625850340136,57,83,64,21,0.5728643216080401
6.0,0.6222222222222222,0.47107438016528924,0.7307692307692307,0.564625850340136,57,83,64,21,0.5728643216080401
6.5,0.6844444444444444,0.5360824742268041,0.6666666666666666,0.6938775510204082,52,102,45,26,0.5942857142857142
7.0,0.6844444444444444,0.5360824742268041,0.6666666666666666,0.6938775510204082,52,102,45,26,0.5942857142857142
7.5,0.6888888888888889,0.5512820512820513,0.5512820512820513,0.7619047619047619,43,112,35,35,0.5512820512820513
8.0,0.6888888888888889,0.5512820512820513,0.5512820512820513,0.7619047619047619,43,112,35,35,0.5512820512820513
8.5,0.72,0.6271186440677966,0.47435897435897434,0.8503401360544217,37,125,22,41,0.5401459854014599
9.0,0.72,0.6271186440677966,0.47435897435897434,0.8503401360544217,37,125,22,41,0.5401459854014599
9.5,0.7688888888888888,1.0,0.3333333333333333,1.0,26,147,0,52,0.5
10.0,0.7688888888888888,1.0,0.3333333333333333,1.0,26,147,0,52,0.5
